#sound,spell,class,extra
#lines marked for "dubious" should be discarded for systematic treatment of sounds
se2ly1lə0,ce/llu/le/,added,corrected
sɑ̃1,cen/t,
sɑ̃1,cen/ts,added
sɑ̃1tʁ,cen/tre,
sɛ1ʁkl,ce/rcle,dubious
sɛ1ʁklə0,ce/rcle/,added,corrected
sɛ1ʁtɛ̃2,ce/rtain/,
sɛ1ʁtɛ̃2,ce/rtain/s,added
sɛ1,ce/s,
sø1,ceu/x,
ʃɛ1n,chaî/ne,dubious
ʃɛ1nə0,chaî/ne/,added,corrected
ʃɛ1z,chai/se,dubious
ʃɛ1zə0,chai/se/,added,corrected
ʃa2lœ1ʁ,cha/leu/r,
ʃɑ̃1bʁ,cham/bre,
ʃɑ̃1s,chan/ce,dubious
ʃɑ̃1sə0,chan/ce/,added,corrected
ʃɑ̃2ʒmɑ̃1,chan/gemen/t,
ʃɑ̃2ʒmɑ̃1,chan/gemen/ts,added
ʃɑ̃1sɔ̃2,chan/son/,
ʃɑ̃1sɔ̃2,chan/son/s,added
ʃɑ̃1te2,chan/te/r,
ʃa1po2,cha/peau/,
ʃa1po2,cha/peau/x,added
ʃa1k,cha/que,dubious
ʃa1kə0,cha/que/,added,corrected
ʃa1k,cha/ques,dubious
ʃa1kə0,cha/que/s,added,corrected
ʃa1ʁʒe2,cha/rge/r,
ʃa1s,cha/sse,dubious
ʃa1sə0,cha/sse/,added,corrected
ʃa1,cha/t,
ʃa1,cha/ts,added
tʃa1t,cha/t,
ʃo1,chau/d,
ʃo1,chau/ds,added
ʃo1də0,chau/de/,added
ʃo1də0,chau/de/s,added
ʃo2sy1ʁ,chau/ssu/re,
ʃo2sy1ʁ,chau/ssu/res,added
ʃo2vsu2ʁi1,chau/ve-sou/ri/s,dubious
ʃo2və0su2ʁi1,chau/ve/-sou/ri/s,added,corrected
ʃɛ1f,che/f,
ʃɛ1f,che/fs,added
ʃmɛ̃1,chemin/,dubious
ʃmɛ̃1,chemin/s,added,dubious
ʃə0mɛ̃1,che/min/,
ʃə0mɛ̃1,che/min/s,added
ʃɛ1ʁ,che/r,
ʃɛ1ʁ,che/rs,added
ʃva1l,cheva/l,dubious
ʃva1lə0,cheva/l/,added,dubious
ʃə0va1lə0,che/va/l/,added,corrected
ʃə0vø1,che/veu/x,added,corrected
ʃfø1,cheveu/x,dubious,
ʃə0fø1,che/veu/x,added,corrected
ʃjɛ̃1,chien/,
ʃjɛ̃1,chien/s,added
ʃi1fʁ,chi/ffre,
ʃwa2zi1ʁ,choi/si/r,
ʃo1z,cho/se,dubious
ʃo1zə0,cho/se/,added,corrected
sjɛ1l,cie/l,dubious
