1aːbmt,/Abend
kl1aɛn,kl/ein
kl1aɛt,Kl/eid
kl1ʊft,Kl/uft
k1ɔpf,K/opf
k1ɔx,K/och
kʁ1aɛs,Kr/eis
kʁ1aft,Kr/aft
k1ʊnst,K/unst
kv1aʁt,Q/uart
kʏ1ːln,k/ühlen
l1iːf,l/ief
l1ɪŋks,l/inks
l1ɔx,L/och
m1axt,M/acht
m1oːnt,M/ond
n1aːm,n/ahm
n1iː,n/ie
n1ɪçt,n/icht
1oːpst,/Obst
1ɔft,/oft
1ɔp,/ob
1ɔʁt,/Ort
pl1ats,Pl/atz
p1ʊŋkt,P/unkt
ʁ1ant,R/and
ʁ1aɔm,R/aum
ʁ1ɛçt,R/echt
ʁ1ʊtʃ,R/utsch
s1ɛnt,C/ent
ʃ1aʁf,sch/arf
ʃ1ɛf,Ch/ef
ʃ1ɪf,Sch/iff
ʃl1aːf,Schl/af
ʃl1aːk,Schl/ag
ʃn1eː,Schn/ee
ʃp1ɛːt,sp/ät
ʃʁ1aɛ,Schr/ei
ʃt1aɛn,St/ein
ʃt1am,St/amm
ʃt1ant,st/and
ʃt1ɛʁn,St/ern
ʃt1ɪl,st/ill
ʃt1ɔp,St/opp
ʃt1uːl,St/uhl
ʃv1ants,Schw/anz
ʃv1aʁts,schw/arz
t1aːk,T/ag
t1aːl,T/al
t1ants,T/anz
t1iːf,t/ief
t1oːt,t/ot
t1oːt,T/od
ts1aːl,Z/ahl
ts1aɛt,Z/eit
ts1ɛːln,z/ählen
ts1ɛnt,C/ent
ts1ɔl,Z/oll
ts1ɔʁn,Z/orn
ts1uːk,Z/ug
tsv1aɛ,zw/ei
t1uːn,t/un
t1uːt,t/ut
tʏ1ːp,T/yp
1ʊns,/uns
1ʊnt,/und
v1aɛs,w/eiß
v1aɛt,w/eit
v1alt,W/ald
v1as,w/as
v1ɛn,w/enn
v1iː,w/ie
v1ɪnt,W/ind
v1ɪʁt,w/ird
v1oː,w/o
v1ɔʁt,W/ort
z1aɛl,S/eil
z1alts,S/alz
z1ɛlpst,s/elbst
z1ɪn,S/inn
z1ɪnt,s/ind
z1ɪts,S/itz
z1oː,s/o
bl1aɛbm,bl/eiben
